case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count
mincostflow,MinCostFlow,mincostflow,PCA,20,3,20,0.6544037749639116,0.0005397586935123599,2
mincostflow,MinCostFlow,mincostflow,PCA,20,4,20,0.6544037749639116,0.0005397586935123599,2
mincostflow,MinCostFlow,mincostflow,PCA,20,8,20,0.8264420606921645,0.17257804442176544,2
mincostflow,MinCostFlow,mincostflow,PCA,20,12,20,0.8268613933989164,0.1729973771285172,2
mincostflow,MinCostFlow,mincostflow,PCA,20,16,20,0.826879306245037,0.17301528997463783,2
mincostflow,MinCostFlow,mincostflow,PCA,20,20,20,0.9999472981098348,5.2701890163597824e-05,2
mincostflow,MinCostFlow,mincostflow,SGA,20,0,20,0.6544037749639116,0.0005397586935126375,2
mincostflow,MinCostFlow,mincostflow,SGA,20,1,20,0.9920457299756658,0.0008202789076354189,2
mincostflow,MinCostFlow,mincostflow,SGA,20,2,20,0.9745356917437473,0.018987906249113007,2
mincostflow,MinCostFlow,mincostflow,SGA,20,3,20,0.9794663891782793,0.00624531477879503,2
mincostflow,MinCostFlow,mincostflow,SGA,20,4,20,0.9846139277143215,0.003378121419631619,2
mincostflow,MinCostFlow,mincostflow,SGA,20,8,20,0.9734750872452973,0.0038886131779548028,2
mincostflow,MinCostFlow,mincostflow,SGA,20,12,20,0.97911804435449,0.003915178182216983,2
mincostflow,MinCostFlow,mincostflow,SGA,20,16,20,0.9830364274864022,7.96313558621975e-05,2
mincostflow,MinCostFlow,mincostflow,SGA,20,20,20,0.9892733577885608,0.0030899483264663075,2
packing,Packing,packing,CostOnly,20,0,20,0.0,0.0,2
packing,Packing,packing,CostOnly,20,1,20,0.9427076543015983,0.0004893886981128803,2
packing,Packing,packing,CostOnly,20,2,20,0.9446281872157614,0.0007147105032778155,2
packing,Packing,packing,CostOnly,20,3,20,0.9448641831163593,0.001455629100218625,2
packing,Packing,packing,CostOnly,20,4,20,0.9463467899212354,0.00014613333064056322,2
packing,Packing,packing,CostOnly,20,8,20,0.947549986252701,0.0011968407839453854,2
packing,Packing,packing,CostOnly,20,12,20,0.9498095373401052,0.00030676040735122534,2
packing,Packing,packing,CostOnly,20,16,20,0.9541234942011447,0.0008703019114604804,2
