case,title,family,method,K,objective_ratio_mean,objective_ratio_se,seed_count
stair,STAIR,netlib,CostOnly,40,0.95771352295339,1.3136633852939283e-07,2
stair,STAIR,netlib,CostOnly,50,0.95771352295339,1.3136633852939283e-07,2
stair,STAIR,netlib,Full,5,1.0,0.0,2
stair,STAIR,netlib,Full,10,1.0,0.0,2
stair,STAIR,netlib,Full,20,1.0,0.0,2
stair,STAIR,netlib,Full,30,1.0,0.0,2
stair,STAIR,netlib,Full,40,1.0,0.0,2
stair,STAIR,netlib,Full,50,1.0,0.0,2
stair,STAIR,netlib,OursExact,5,1.0000000000000009,0.0,2
stair,STAIR,netlib,OursExact,10,1.0000000000000009,0.0,2
stair,STAIR,netlib,OursExact,20,1.0000000000000009,0.0,2
stair,STAIR,netlib,OursExact,30,1.0000000000000009,0.0,2
stair,STAIR,netlib,OursExact,40,1.0000000000000009,0.0,2
stair,STAIR,netlib,OursExact,50,1.0000000000000009,0.0,2
stair,STAIR,netlib,PCA,5,0.9577133934499236,4.267913800152513e-11,2
stair,STAIR,netlib,PCA,10,0.9577133934499233,4.267969311303745e-11,2
stair,STAIR,netlib,PCA,20,0.957713393449929,4.2678971468035336e-11,2
stair,STAIR,netlib,PCA,30,0.9577133934499208,4.267297626370236e-11,2
stair,STAIR,netlib,PCA,40,0.9577133934499208,4.267297626370236e-11,2
stair,STAIR,netlib,PCA,50,0.9577133934499208,4.267297626370236e-11,2
stair,STAIR,netlib,Rand,5,0.9577133934499245,4.26792490238276e-11,2
stair,STAIR,netlib,Rand,10,0.9577133934499233,4.26792490238276e-11,2
stair,STAIR,netlib,Rand,20,0.9577133934499259,4.2681747025596906e-11,2
stair,STAIR,netlib,Rand,30,0.9577133934499238,4.267963760185012e-11,2
stair,STAIR,netlib,Rand,40,0.9577133934499297,4.268552178388063e-11,2
stair,STAIR,netlib,Rand,50,0.9577133934499233,4.267930453494273e-11,2
stair,STAIR,netlib,SGA,5,0.9767794023634375,9.326278638256955e-11,2
stair,STAIR,netlib,SGA,10,0.9767794023634304,9.323758431991057e-11,2
stair,STAIR,netlib,SGA,20,0.9767794023634171,9.318140703486453e-11,2
stair,STAIR,netlib,SGA,30,0.976779402363417,9.31830168582337e-11,2
stair,STAIR,netlib,SGA,40,0.976779402363417,9.31830168582337e-11,2
stair,STAIR,netlib,SGA,50,0.976779402363417,9.31830168582337e-11,2
