case,title,family,method,K,n_train,sample_k,objective_ratio_mean,objective_ratio_se,seed_count,source_method
random_lp_D,RandomLP D,random_lp,CostOnly,20,8,20,0.5600530525530603,0.0811102887082376,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,12,20,0.5843408231807906,0.0838790512046445,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,16,20,0.5982132348241305,0.0674328940861309,2,CostOnly
random_lp_D,RandomLP D,random_lp,CostOnly,20,20,20,0.483925624187419,0.0804435219613044,2,CostOnly
random_lp_D,RandomLP D,random_lp,OursExact,20,0,20,-0.0430999617401956,0.1468121262449333,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,1,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,2,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,3,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,4,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,8,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,12,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,16,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,OursExact,20,20,20,0.9999999999999988,1.3888885600717773e-15,2,OursExact
random_lp_D,RandomLP D,random_lp,data-driven proj,20,0,20,-0.0430999617401956,0.1468121262449333,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,1,20,0.0354743782683218,0.1581391054719005,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,2,20,0.0722849398804666,0.1540892020237885,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,3,20,0.1001618069668221,0.156600130771678,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,4,20,0.1158967318399795,0.1657393025553737,2,SGA
random_lp_D,RandomLP D,random_lp,data-driven proj,20,8,20,0.1914133133522769,0.1194694270100746,2,SGA
