method,K,instance,objective,full_objective,objective_ratio,time,success,case,title,family,intrinsic_K,message
Rand,30,packing_test_00001,48.88631329755822,229.78207164671875,0.2127507727091915,0.0040861999150365,1.0,packing,Packing,packing,,
Rand,30,packing_test_00002,47.47259875532394,231.24999524898823,0.2052869177541384,0.0043294000206515,1.0,packing,Packing,packing,,
Rand,30,packing_test_00003,49.16583131011037,232.05269552777483,0.2118735625901213,0.0039810000453144,1.0,packing,Packing,packing,,
Rand,30,packing_test_00004,48.96794305713656,230.3178565095968,0.2126102760733889,0.0039485999150201,1.0,packing,Packing,packing,,
Rand,30,packing_test_00005,48.47400492089847,231.347256450289,0.2095291972105767,0.0043283000122755,1.0,packing,Packing,packing,,
Rand,30,packing_test_00006,48.0081867046804,231.39856840294945,0.2074696789872987,0.0040775999659672,1.0,packing,Packing,packing,,
Rand,30,packing_test_00007,48.107283437506936,229.4264603199824,0.2096849830242398,0.0038796999724581,1.0,packing,Packing,packing,,
Rand,30,packing_test_00008,48.618806687592624,230.84790939045772,0.2106096902327083,0.0048772000009194,1.0,packing,Packing,packing,,
Rand,30,packing_test_00009,48.7761220759008,230.22174634721085,0.2118658330492319,0.0053326999768614,1.0,packing,Packing,packing,,
Rand,30,packing_test_00010,48.318407331851965,230.09828997400095,0.2099902930061388,0.003999900072813,1.0,packing,Packing,packing,,
Rand,30,packing_test_00011,48.68781729462125,230.9602508662536,0.210806046114038,0.0042404000414535,1.0,packing,Packing,packing,,
Rand,30,packing_test_00000,39.66294124483676,233.265568273414,0.1700334152974829,0.0037223999388515,1.0,packing,Packing,packing,,
Rand,30,packing_test_00001,39.98139517273402,229.78207164671875,0.1739970176359272,0.0034784000599756,1.0,packing,Packing,packing,,
Rand,30,packing_test_00002,40.53647023219605,231.24999524898823,0.175292847848711,0.0039709999691694,1.0,packing,Packing,packing,,
Rand,30,packing_test_00003,39.43171962827122,232.05269552777483,0.1699257125136543,0.0043402999872341,1.0,packing,Packing,packing,,
Rand,30,packing_test_00004,40.26667311707352,230.3178565095968,0.1748308781928756,0.0042912999633699,1.0,packing,Packing,packing,,
Rand,30,packing_test_00005,39.20175082693946,231.347256450289,0.1694498194118977,0.0039810999296605,1.0,packing,Packing,packing,,
Rand,30,packing_test_00006,40.61103251869692,231.39856840294945,0.1755025227640055,0.0047015000600367,1.0,packing,Packing,packing,,
Rand,30,packing_test_00007,40.51182843504249,229.4264603199824,0.1765787101389282,0.0047650000778958,1.0,packing,Packing,packing,,
Rand,30,packing_test_00008,39.7136980398749,230.84790939045772,0.1720340381021293,0.0034830999793484,1.0,packing,Packing,packing,,
Rand,30,packing_test_00009,40.30445786948028,230.22174634721085,0.1750679877507956,0.0033990000374615,1.0,packing,Packing,packing,,
Rand,30,packing_test_00010,40.47821285449906,230.09828997400095,0.1759170520522892,0.0046649000141769,1.0,packing,Packing,packing,,
Rand,30,packing_test_00011,40.08727917880849,230.9602508662536,0.173567871650878,0.0047866000095382,1.0,packing,Packing,packing,,
PCA,30,packing_test_00000,231.41886172502493,233.265568273414,0.9920832441664752,0.0132319999393075,1.0,packing,Packing,packing,,
PCA,30,packing_test_00001,228.5528382817717,229.78207164671875,0.9946504383212414,0.0126239999663084,1.0,packing,Packing,packing,,
PCA,30,packing_test_00002,229.79092495823195,231.24999524898823,0.9936905067211556,0.0140131000662222,1.0,packing,Packing,packing,,
PCA,30,packing_test_00003,229.48807442331545,232.05269552777483,0.9889481089688422,0.0114961999934166,1.0,packing,Packing,packing,,
PCA,30,packing_test_00004,228.7053404532915,230.3178565095968,0.9929987362649926,0.0098515999270603,1.0,packing,Packing,packing,,
PCA,30,packing_test_00005,228.50788626075231,231.347256450289,0.9877268041423832,0.0138734000502154,1.0,packing,Packing,packing,,
PCA,30,packing_test_00006,228.9440789158897,231.39856840294945,0.9893928060834604,0.0121263000182807,1.0,packing,Packing,packing,,
PCA,30,packing_test_00007,228.06727671304847,229.4264603199824,0.9940757330037772,0.0123492999700829,1.0,packing,Packing,packing,,
PCA,30,packing_test_00008,229.1398612464509,230.84790939045772,0.9926009806694076,0.0123799999710172,1.0,packing,Packing,packing,,
PCA,30,packing_test_00009,229.0407741171269,230.22174634721085,0.9948702837641458,0.0168112999526783,1.0,packing,Packing,packing,,
PCA,30,packing_test_00010,228.39113831464647,230.09828997400095,0.9925807720711554,0.0139065000694245,1.0,packing,Packing,packing,,
PCA,30,packing_test_00011,228.58043231339883,230.9602508662536,0.9896959821271026,0.0185051000444218,1.0,packing,Packing,packing,,
SGA,30,packing_test_00000,226.91466202519945,233.265568273414,0.97277392332172,0.0134598999284207,1.0,packing,Packing,packing,,
SGA,30,packing_test_00001,225.3481680895515,229.78207164671875,0.9807038750874169,0.0119143999181687,1.0,packing,Packing,packing,,
SGA,30,packing_test_00002,225.7098960471185,231.24999524898823,0.9760428137699864,0.0123211999889463,1.0,packing,Packing,packing,,
SGA,30,packing_test_00003,225.9336628785759,232.05269552777483,0.9736308486515016,0.0133379999315366,1.0,packing,Packing,packing,,
SGA,30,packing_test_00004,226.22631560751245,230.3178565095968,0.9822352423555408,0.0152887000003829,1.0,packing,Packing,packing,,
SGA,30,packing_test_00005,225.48761684843515,231.347256450289,0.9746716702339068,0.0124222000595182,1.0,packing,Packing,packing,,
SGA,30,packing_test_00006,225.15340959395195,231.39856840294945,0.9730112469921492,0.0114977000048384,1.0,packing,Packing,packing,,
SGA,30,packing_test_00007,225.68350691303817,229.4264603199824,0.983685607136492,0.0109942000126466,1.0,packing,Packing,packing,,
SGA,30,packing_test_00008,225.86242895828917,230.84790939045772,0.9784036145472034,0.0153755999635905,1.0,packing,Packing,packing,,
SGA,30,packing_test_00009,225.42757901024729,230.22174634721085,0.9791758710329076,0.0142127000726759,1.0,packing,Packing,packing,,
SGA,30,packing_test_00010,225.73792441156803,230.09828997400095,0.9810499871036606,0.0130406999960541,1.0,packing,Packing,packing,,
SGA,30,packing_test_00011,225.2953922996535,230.9602508662536,0.9754725822068816,0.0118712000548839,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00000,222.6693137539397,233.265568273414,0.954574288018992,0.0098051000386476,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00001,219.0891315706644,229.78207164671875,0.9534648634707482,0.0119566000066697,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00002,221.01773994463505,231.24999524898823,0.9557524085856258,0.0154070999706164,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00003,223.53044798217047,232.05269552777483,0.9632745160480832,0.0117739000124856,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00004,221.36424666438583,230.3178565095968,0.9611249862216484,0.0135476000141352,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00005,220.50823493190208,231.347256450289,0.953148259959089,0.0096304999897256,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00006,220.6859358931478,231.39856840294945,0.953704845350871,0.0143829000880941,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00007,219.0578062161249,229.4264603199824,0.9548061976399922,0.0193428999045863,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00008,220.4085234339985,230.84790939045772,0.9547780788484336,0.013203699956648,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00009,221.15484385014585,230.22174634721085,0.9606166548515764,0.0120189000153914,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00010,220.2614471899636,230.09828997400095,0.9572493877066672,0.0100051999324932,1.0,packing,Packing,packing,,
CostOnly,30,packing_test_00011,221.70537468742447,230.9602508662536,0.9599287057226636,0.0150089999660849,1.0,packing,Packing,packing,,
Rand,40,packing_test_00000,47.925496472185486,233.265568273414,0.2054546533674927,0.0036833999911323,1.0,packing,Packing,packing,,
Rand,40,packing_test_00001,47.288376295757374,229.78207164671875,0.2057966313771488,0.004073700052686,1.0,packing,Packing,packing,,
Rand,40,packing_test_00002,48.707741312591416,231.24999524898823,0.2106280748682719,0.0032950999448075,1.0,packing,Packing,packing,,
Rand,40,packing_test_00003,48.123249487157786,232.05269552777483,0.2073806959135185,0.0035611999919638,1.0,packing,Packing,packing,,
Rand,40,packing_test_00004,47.88881731557085,230.3178565095968,0.2079249001415374,0.0038535000057891,1.0,packing,Packing,packing,,
Rand,40,packing_test_00005,46.953005068668425,231.347256450289,0.2029546655927493,0.003653599997051,1.0,packing,Packing,packing,,
Rand,40,packing_test_00006,47.12641821666571,231.39856840294945,0.2036590742195146,0.0049818000989034,1.0,packing,Packing,packing,,
Rand,40,packing_test_00007,47.41155908133583,229.4264603199824,0.2066525326468911,0.0043912000255659,1.0,packing,Packing,packing,,
Rand,40,packing_test_00008,47.62024240586551,230.84790939045772,0.2062840531309309,0.0036896000383421,1.0,packing,Packing,packing,,
Rand,40,packing_test_00009,46.906439059923926,230.22174634721085,0.2037446062509733,0.0032298000296577,1.0,packing,Packing,packing,,
Rand,40,packing_test_00010,47.59114953147177,230.09828997400095,0.2068296532618697,0.0030109999934211,1.0,packing,Packing,packing,,
Rand,40,packing_test_00011,47.45170270749899,230.9602508662536,0.2054539797628541,0.0046223999233916,1.0,packing,Packing,packing,,
Rand,40,packing_test_00000,44.23816212387946,233.265568273414,0.1896472010478086,0.0032246999908238,1.0,packing,Packing,packing,,
Rand,40,packing_test_00001,43.56612469561641,229.78207164671875,0.1895975799304206,0.0033291999716311,1.0,packing,Packing,packing,,
Rand,40,packing_test_00002,44.73479531385049,231.24999524898823,0.1934477674937215,0.0028823999455198,1.0,packing,Packing,packing,,
Rand,40,packing_test_00003,43.29952789087518,232.05269552777483,0.1865935139964473,0.0043845999753102,1.0,packing,Packing,packing,,
Rand,40,packing_test_00004,44.13927875979159,230.3178565095968,0.1916450570907098,0.0033473001094534,1.0,packing,Packing,packing,,
Rand,40,packing_test_00005,44.15623838412126,231.347256450289,0.190865623658733,0.0032388999825343,1.0,packing,Packing,packing,,
Rand,40,packing_test_00006,44.44870264927455,231.39856840294945,0.1920871981017321,0.0031754000810906,1.0,packing,Packing,packing,,
Rand,40,packing_test_00007,44.15859977753308,229.4264603199824,0.1924738747045342,0.0051585999317467,1.0,packing,Packing,packing,,
Rand,40,packing_test_00008,44.120987224376734,230.84790939045772,0.1911257820825667,0.0034135000314563,1.0,packing,Packing,packing,,
Rand,40,packing_test_00009,44.04749759435779,230.22174634721085,0.1913263985406799,0.0030680000782012,1.0,packing,Packing,packing,,
Rand,40,packing_test_00010,44.36575896906459,230.09828997400095,0.1928122063578896,0.0033109999494627,1.0,packing,Packing,packing,,
Rand,40,packing_test_00011,44.16085133185862,230.9602508662536,0.1912054181021463,0.0033634999999776,1.0,packing,Packing,packing,,
Rand,40,packing_test_00000,47.93126978708747,233.265568273414,0.205479403333571,0.0045610999222844,1.0,packing,Packing,packing,,
Rand,40,packing_test_00001,48.73137371517266,229.78207164671875,0.2120764834520915,0.0031839000293985,1.0,packing,Packing,packing,,
Rand,40,packing_test_00002,47.34670324706613,231.24999524898823,0.204742504734271,0.0032763000344857,1.0,packing,Packing,packing,,
Rand,40,packing_test_00003,49.18187692348733,232.05269552777483,0.2119427090111119,0.0033637000015005,1.0,packing,Packing,packing,,
Rand,40,packing_test_00004,48.298185387321226,230.3178565095968,0.209702304976552,0.0047059999778866,1.0,packing,Packing,packing,,
Rand,40,packing_test_00005,48.72706451651841,231.347256450289,0.2106230489359129,0.0043417999986559,1.0,packing,Packing,packing,,
Rand,40,packing_test_00006,47.707262158480574,231.39856840294945,0.2061692191431574,0.0025954999728128,1.0,packing,Packing,packing,,
Rand,40,packing_test_00007,48.531696038260726,229.4264603199824,0.2115348681689692,0.0085229999385774,1.0,packing,Packing,packing,,
Rand,40,packing_test_00008,48.58109209896397,230.84790939045772,0.2104463160495578,0.0044883999507874,1.0,packing,Packing,packing,,
Rand,40,packing_test_00009,48.72080691070406,230.22174634721085,0.2116255639778936,0.0034624999389052,1.0,packing,Packing,packing,,
Rand,40,packing_test_00010,48.01403553789131,230.09828997400095,0.2086675026716472,0.0036136999260634,1.0,packing,Packing,packing,,
Rand,40,packing_test_00011,48.4403307588777,230.9602508662536,0.209734491442551,0.0048023000126704,1.0,packing,Packing,packing,,
PCA,40,packing_test_00000,231.41886172502493,233.265568273414,0.9920832441664752,0.0139383999630808,1.0,packing,Packing,packing,,
PCA,40,packing_test_00001,228.5528382817717,229.78207164671875,0.9946504383212414,0.012438999954611,1.0,packing,Packing,packing,,
PCA,40,packing_test_00002,229.79092495823195,231.24999524898823,0.9936905067211556,0.0120887999655678,1.0,packing,Packing,packing,,
